42|41|PIN|40||||||
80|79|PIN|78||||||
90|89|PIN|88||||||
94|93|PIN|92||||||
98|97|PIN|96||||||
124|123|SY|122||||||
142|141|SY|140||||||
158|157|SY|156||||||
170|169|SY|168||||||
194|193|SY|192||||||
200|199|SY|198||||||
206|205|SY|204||||||
208|207|SY|204||||||
212|211|PIN|210||||||
220|219|PIN|218||||||
230|229|PIN|228||||||
236|235|SY|234||||||
238|237|SY|234||||||
242|241|SY|240||||||
246|245|SY|244||||||
278|277|PIN|276||||||
284|283|PIN|282||||||
294|293|BN|292||||||
296|295|PIN|292||||||
326|325|PIN|324||||||
334|333|SY|332||||||
360|359|PIN|358||||||
364|363|PIN|362||||||
368|367|PIN|366||||||
374|373|PIN|372||||||
378|377|PIN|376||||||
422|421|SY|420||||||
430|429|PIN|428||||||
434|433|PIN|432||||||
458|457|SY|456||||||
466|465|PIN|464||||||
476|475|PIN|474||||||
486|485|PIN|484||||||
488|487|SY|484||||||
492|491|SY|490||||||
496|495|PIN|494||||||
510|509|SY|508||||||
514|513|PIN|512||||||
518|517|PIN|516||||||
550|549|SY|548||||||
554|553|SY|552||||||
564|563|SY|562||||||
574|573|PIN|572||||||
580|579|SY|578||||||
590|589|PIN|588||||||
594|593|PIN|592||||||
616|615|BN|614||||||
618|617|PIN|614||||||
622|621|BN|620||||||
624|623|SY|620||||||
641|640|SY|639||||||
663|662|SY|661||||||
685|684|SY|683||||||
689|688|SY|687||||||
697|696|BN|695||||||
703|702|PIN|701||||||
722|721|SY|720||||||
726|725|SY|724||||||
728|727|SY|724||||||
760|759|SY|758||||||
764|763|SY|762||||||
770|769|BN|768||||||
772|771|SY|768||||||
796|795|SY|794||||||
813|812|SY|811||||||
823|822|BN|821||||||
825|824|SY|821||||||
834|833|BN|832||||||
836|835|SY|832||||||
840|839|SY|838||||||
842|841|SY|838||||||
846|845|PIN|844||||||
852|851|SY|850||||||
874|873|BN|872||||||
876|875|PIN|872||||||
907|906|BN|905||||||
931|930|BN|929||||||
948|947|BN|946||||||
975|974|BN|973||||||
992|991|PIN|990||||||
1011|1010|BN|1009||||||
1013|1012|PIN|1009||||||
1026|1025|PIN|1024||||||
1068|1067|BN|1066||||||
1074|1073|BN|1072||||||
1076|1075|PIN|1072||||||
1093|1092|BN|1091||||||
1115|1114|BN|1113||||||
1117|1116|PIN|1113||||||
1174|1173|PIN|1172||||||
1178|1177|BN|1176||||||
1180|1179|PIN|1176||||||
1196|1195|BN|1194||||||
1198|1197|PIN|1194||||||
1235|1234|PIN|1233||||||
1241|1240|PIN|1239||||||
1245|1244|BN|1243||||||
1275|1274|BN|1273||||||
1277|1276|PIN|1273||||||
1281|1280|BN|1279||||||
1283|1282|PIN|1279||||||
1305|1304|PIN|1303||||||
1309|1308|BN|1307||||||
1311|1310|SY|1307||||||
1313|1312|SY|1307||||||
1352|1351|BN|1350||||||
1369|1368|PIN|1367||||||
1373|1372|PIN|1371||||||
1380|1379|PIN|1378||||||
1403|1402|SY|1401||||||
1437|1436|PIN|1435||||||
1449|1448|SY|1447||||||
1453|1452|BN|1451||||||
1455|1454|PIN|1451||||||
1466|1465|BN|1464||||||
1468|1467|PIN|1464||||||
1516|1515|SY|1514||||||
1525|1524|SY|1523||||||
1537|1536|PIN|1535||||||
1541|1540|PIN|1539||||||
1545|1544|SY|1543||||||
1565|1564|SY|1563||||||
1586|1585|BN|1584||||||
1603|1602|BN|1601||||||
1605|1604|PIN|1601||||||
1628|1627|PIN|1626||||||
1658|1657|SY|1656||||||
1660|1659|SY|1656||||||
1664|1663|BN|1662||||||
1666|1665|PIN|1662||||||
1668|1667|SY|1662||||||
1690|1689|BN|1688||||||
1713|1712|PIN|1711||||||
1723|1722|PIN|1721||||||
1727|1726|PIN|1725||||||
1749|1748|BN|1747||||||
1768|1767|BN|1766||||||
1770|1769|PIN|1766||||||
1772|1771|SY|1766||||||
1800|1799|BN|1798||||||
1802|1801|PIN|1798||||||
1819|1818|BN|1817||||||
1836|1835|BN|1834||||||
1838|1837|PIN|1834||||||
1849|1848|BN|1847||||||
1851|1850|PIN|1847||||||
1863|1862|PIN|1861||||||
1865|1864|SY|1861||||||
1869|1868|PIN|1867||||||
1873|1872|PIN|1871||||||
1885|1884|PIN|1883||||||
1889|1888|PIN|1887||||||
1895|1894|BN|1893||||||
1913|1912|PIN|1911||||||
1958|1957|SY|1956||||||
1960|1959|SY|1956||||||
1964|1963|BN|1962||||||
1966|1965|PIN|1962||||||
1973|1972|BN|1971||||||
1975|1974|PIN|1971||||||
1990|1989|BN|1988||||||
1998|1997|BN|1996||||||
2031|2030|SY|2029||||||
2035|2034|SY|2033||||||
2039|2038|SY|2037||||||
2049|2048|SY|2047||||||
2053|2052|BN|2051||||||
2071|2070|SY|2069||||||
2073|2072|SY|2069||||||
2085|2084|SY|2083||||||
2108|2107|SY|2106||||||
2116|2115|BN|2114||||||
2118|2117|PIN|2114||||||
2120|2119|SY|2114||||||
2124|2123|SY|2122||||||
2143|2142|BN|2141||||||
2145|2144|PIN|2141||||||
2149|2148|BN|2147||||||
2171|2170|BN|2169||||||
2182|2181|BN|2180||||||
2184|2183|PIN|2180||||||
2188|2187|SY|2186||||||
2213|2212|BN|2211||||||
2215|2214|PIN|2211||||||
2235|2234|BN|2233||||||
2239|2238|BN|2237||||||
2261|2260|BN|2259||||||
2263|2262|PIN|2259||||||
2290|2289|PIN|2288||||||
2307|2306|BN|2305||||||
2346|2345|BN|2344||||||
